secucode,publish_date,announcement_title,regulatory_focus_points_json
002069.SZ,2020-05-28,獐子岛-年报问询函-2020-05-28,"['净资产期末余额仅为166.82万元，请解释原因。', '长期资产减值未计提，是否合理？', '保留意见涉及事项对公司财务状况影响如何？', '应对海洋牧场灾害的举措有效性如何？', '内部控制存在重大缺陷，请说明原因。', '底播虾夷扇贝死亡调查进展如何？', '货币资金存放情况及真实性如何？', '是否存在长期通过举债维持超过营运需要的货币资金？', '存货跌价准备是否充分？', '应收账款坏账准备计提是否充分？', '预付款项未结算原因是什么？']"
002069.SZ,2022-05-02,獐子岛-年报问询函-2022-05-02,"['说明诉讼事项会计处理的具体过程及计提依据的充分性、合理性。', '分析归母净利润变动与营业收入变动背离的原因。', '详细说明政府补助的事由、金额等，并评估其可持续性。', '国外业务收入来源国家（地区）及相应的收入金额。', '按收入来源国家（地区）划分，逐月说明国外业务实现的营业收入金额。', '说明境外资产的具体情况及其减值测试过程。', '结合交易背景和对方关系，分析出售相关资产的会计处理是否符合规定。', '论证水世界股权转让后公司对其控制权的变化及会计处理。']"
002069.SZ,2020-01-03,獐子岛-关注函-2020-01-03,"['交易对方实缴注册资本情况及资金来源', '海底海参存货账面价值确认依据，销售毛利率与评估单价差异', '评估机构对《报告》复核方法、过程与结论', '海域承租权转让时间、方式、价格及运营情况', '渔工商同意文件及是否存在其他法律障碍', '董事反对意见及其对公司未来经营影响', '会计处理及净利润增加计算依据']"
002069.SZ,2021-05-31,獐子岛-年报问询函-2021-05-31,"['详细说明证券虚假陈述相关诉讼的最新进展及可能影响。', '详细说明预计负债计提的具体计算过程、依据及其合理性。', '说明对韩国公司的评估情况，包括评估机构和方法等。', '详细说明报告期营业收入下降的原因及财务数据变动趋势。', '分析毛利率增加的原因及合理性。', '分析公司偿债能力是否存在重大风险。', '说明银行账号被冻结的最新情况及影响。', '核查公司是否触及本所《股票上市规则》第13.3条情形。', '列示扣除的营业收入情况。', '详细描述水产贸易业务的商品和模式。', '说明贸易商品价格确定方式及其风险承担。', '说明贸易业务流程及收入确认方法。', '分析各类业务是否存在偶发性、临时性特征。']"
002069.SZ,2020-06-24,獐子岛-关注函-2020-06-24,"['2016、2017年定期报告是否存在会计差错，是否需更正？', '2018、2019年财务报告保留意见原因及影响？', '公司是否存在重大违法强制退市情形？']"
002069.SZ,2020-01-09,獐子岛-关注函-2020-01-09,"['评估海参价格合理性', '披露三方协议内容', '说明业务调整策略与风险', '补充其他需说明事项']"
002074.SZ,2020-12-29,国轩高科-关注函-2020-12-29,"['董事弃权原因及交易必要性', '应收账款形成情况、账龄及坏账准备', '债转股对公司业绩影响及是否存在其他债权债务关系', '评估增值合理性及收益法与资产基础法差异', '终止募投项目原因及原可行性分析报告审慎性']"
002074.SZ,2020-04-21,国轩高科-关注函-2020-04-21,"['媒体报道内容是否属实？', '与大众汽车的战略合作进展如何？', '是否有筹划定向增发或其他再融资事项？', '是否存在内幕信息泄露情况？', '其他应说明的事项。']"
002074.SZ,2021-05-25,国轩高科-年报问询函-2021-05-25,"['补充说明营业收入是否存在季节性差异及跨期确认收入情形', '解释营业收入、营业成本和经营活动现金流量变动趋势不一致的合理性', '判断依据、合规性和准确性并说明是否完整列出营业收入扣除项目', '说明应收账款占营业收入比例较高的原因及其合理性', '逐笔说明一年期以上应收账款计提比例是否充分、合规', '说明大额长账龄应收账款的原因及对应交易商业实质', '解释存货跌价准备计提的合理性及本期转回或转销判断标准', '补充说明资产权利受限金额大幅增加原因及其对公司影响', '说明是否存在资金占用或财务资助等情形及流动性风险', '新增土地使用权确认依据是否符合会计准则规定', '开发支出转入损益的具体内容及合理性', '解释募投项目投入金额为负值的原因及可行性变化情况']"
002076.SZ,2020-06-24,*ST雪莱-关注函-2020-06-24,"['拟签订战略协议对公司业绩影响及信息披露标准', '战略协议不确定性及风险提示', '‘未来之光’项目体系详情与履约能力', '筹划决策过程、内幕知情人股票买卖情况自查', '实际控制人等近6个月买卖公司股票情况', '近期接待调研机构和个人投资者情况', '董事长增持股份进展及资金来源', '债务豁免涉及债权人及协议内容', '是否存在违反公平信息披露原则']"
002437.SZ,2023-05-04,誉衡药业-年报问询函-2023-05-04,"['盈利能力、持续经营能力是否存在重大不确定性', '销售商品收入是否最终实现，是否存在增加收入、利润情形', '扣非后净利润和经营活动产生的现金流量净额变化与营业收入不匹配原因', '2023年经营计划及策略', '年审会计师核查并发表意见', '销售人员人数减少但销售费用增加合理性', '各明细科目对应的具体业务性质、款项支付对象', '是否存在利益输送情况', '市场推广费用核算内容及确认依据', '内部控制制度是否健全有效执行', '支付给职工以及为职工支付的现金与员工数量变化匹配性', '董监高薪酬合理性', '年审会计师核查并发表意见', '短期借款来源、用途、利率、期限对业务发展影响', '贷款金额是否与公司业务规模相匹配', '其他应付款项目债权人名称及交易背景', '公允价值计量过程和准确性', '誉衡生物业绩亏损原因，增资时是否合理预见', '历次增资估值依据及定价合理性', '投资决策审批程序与信息披露义务履行情况', '年审会计师核查增资款投入情况']"
002437.SZ,2022-12-28,誉衡药业-关注函-2022-12-28,"['详细说明无形资产、存货、固定资产计提减值准备的情况。', '说明商誉减值测试与以前年度的差异及合理性。', '结合行业变化，说明誉衡生物开发支出减值的具体时点和过程。', '分析本次计提对持续经营能力的影响。']"
000889.SZ,2021-07-07,中嘉博创-关注函-2021-07-07,"['刘英魁股份冻结的具体情况及是否存在规避业绩承诺补偿情形。', '督促刘英魁履行承诺已或拟采取措施说明。', '其他需要说明的事项。']"
000889.SZ,2020-04-13,中嘉博创-关注函-2020-04-13,"['经营业绩情况核查', '业务开展情况分析', '股价连续异动的风险提示安排']"
000889.SZ,2024-05-09,ST中嘉-年报问询函-2024-05-09,"['2022年、2023年审计报告保留意见事项核查', '嘉华信息失控事项及会计处理核查', '净利润亏损、货币资金减少对公司持续经营能力的判断依据', '年报审计过程中对公司持续经营能力的判断依据合理性核查', '营业收入确认准确性核查', '营业成本确认准确性核查']"
000893.SZ,2020-12-11,亚钾国际-关注函-2020-12-11,"['详述十家发行对象原本应补偿股份数量及现金的具体情况。', '说明采用诉讼调解方式解决业绩补偿纠纷的原因及考虑，和解方案的合理性。', '补充说明后续拟采取的具体补偿安排、形式及期限。', '解释和解方案是否符合监管问答规定，是否保护上市公司利益，公司是否督促履行业绩补偿承诺。']"
000893.SZ,2024-03-30,亚钾国际-关注函-2024-03-30,"['核实董事长被立案调查过程及信息披露情况', '董事长被立案调查对公司的影响']"
000893.SZ,2021-08-13,亚钾国际-许可类重组问询函-2021-08-13,"['说明股东放弃控制权与资产重组的关系', '收购方案调整的具体原因及后续安排', '是否存在规避业绩补偿、同业竞争承诺和重组上市相关规定的情形', '未设置业绩承诺的原因及保障措施', '本次收购的合理性及是否盲目扩张', '设立标的公司农钾资源的具体原因', '其他应付款不支付的合理性及交易惯例', '披露老挝采矿政策要求及相关风险', '补充说明收购不按企业合并准则处理依据及会计处理', '分析评估增值率高的原因及合理性', '评估计算年限至采矿证区域内资源全部耗竭的依据', '2025年投入生产的依据及保障措施', '审计和评估机构的服务资质']"
000895.SZ,2022-05-16,双汇发展-年报问询函-2022-05-16,"['说明2021年营业收入、净利润同比下降以及2022年一季度营业收入同比下降的原因', '说明营业收入与经营活动产生的现金流净额变动幅度差异较大、经营活动产生的现金流净额季度间变动幅度较大的原因及合理性', '说明营业收入、净利润与销售费用、管理费用、财务费用和研发费用的变化是否匹配，并分析相关费用变动的原因及合理性', '说明其他行业收入的具体构成', '按商品类别分类列示前十大供应商的采购模式、采购金额、采购价格等，并说明公司从国外大量采购进口肉、辅料、包装物、备件的原因及必要性', '详细列示近三年日常关联交易情况，分析论证你公司关联交易价格的公允性']"
000980.SZ,2022-04-26,*ST众泰-年报问询函-2022-04-26,"['自查是否存在退市或风险警示情形', '债务重组损益确认准确性及合规性', '持续经营能力不确定性说明', '营业收入与净利润变动差异原因', '前五大客户销售情况', '收入扣除事项合理性', '应收账款减值准备计提情况', '预付款项全额计提坏账准备依据', '存货跌价准备转回或转销处理']"
000980.SZ,2024-05-07,众泰汽车-年报问询函-2024-05-07,"['监事娄国海无法保证年报真实性，原因及履职情况？', '大额应收账款和坏账准备计提合理性？', '主要客户及供应商交易详情及其财务状况？', '停工损失确认依据及对公司影响？', '研发费用资本化处理是否合规？', '长期资产预付款项详细信息及减值准备原因？', '破产重整后主营业务改善情况及风险提示？', '高级管理人员变动对公司的影响及应对措施？']"
000980.SZ,2020-09-14,*ST众泰-半年报问询函-2020-09-14,"['解释营业收入和净利润大幅下滑的原因及改善措施。', '说明整车销量与销售收入是否匹配。', '分析应收账款坏账准备计提的合理性。', '检查预付款增长原因及其流向。', '描述停工损失的具体情况。', '确认担保事项是否违规。', '解释其他应收款增加的原因。', '详细说明长期资产购置的情况。', '评估未决诉讼对公司的影响及应对措施。']"
000980.SZ,2021-05-19,*ST众泰-年报问询函-2021-05-19,"['说明持续经营假设编制年报的依据是否充分', '披露前五名客户详细情况并核查收入真实性', '解释审计费用上涨原因及合理性，是否存在购买审计意见情形', '分析销售商品收到现金增长的原因', '未确认2019年业绩补偿款的具体原因及相关依据', '评估铁牛集团股份补偿与现金补偿的计算过程是否一致', '自查相关董监高是否勤勉尽责并提示控制权变更风险', '说明逾期短期借款明细及偿债计划', '披露主要应付账款和其他应付款情况', '详细说明银行账户被冻结的具体情况', '提示资金短缺和债务逾期的风险', '说明主要诉讼进展、预计负债计提情况及应对措施', '自查信息披露是否完整及时准确并评估影响', '新能源汽车整车生产资质的获得情况及核心部件专利申请情况', '分析研发人员流失对业务发展的影响', '解释补贴款组合应收账款坏账准备计提比例']"
000980.SZ,2022-11-04,众泰汽车-关注函-2022-11-04,"['核实媒体报道内容的真实性及影响', '披露内部审议程序和信息披露义务履行情况', '确认采访活动是否符合交易所规定', '说明收到股票的处置计划及其财务影响']"
000980.SZ,2021-04-15,*ST众泰-关注函-2021-04-15,"['关于退市风险的提示和自查', '股价背离基本面的风险提示及预重整影响评估', '其他应说明事项']"
000986.SZ,2020-11-30,粤华包Ｂ-许可类重组问询函-2020-11-30,"['披露现金选择权提供方的具体情况及安排是否符合相关法律法规规定。', '明确需回避表决的股东名称和持股比例。', '说明换股价格对应市盈率、市净率和市销率选取过程及合理性。', '说明交易完成后存续公司每股收益和净资产摊薄情况。', '披露本次交易完成后负债指标变动情况。']"
002076.SZ,2022-04-29,ST雪莱-年报问询函-2022-04-29,"['说明近三年收入下滑、扣非后净利润连续亏损的原因', '解释财务报表编制基础合理性，是否符合《企业会计准则》', '披露2022年到期债务情况及偿债资金来源', '提示未来经营风险，包括终止上市等', '说明持续经营能力不确定事项进展和改善措施', '详细说明权利受限资产的具体情况', '自查是否存在其他应实施退市或风险警示情形', '披露诉讼事项计提预计负债的情况及依据', '解释营业收入扣除项目合理性', '补充固定资产转为投资性房地产的相关会计处理', '说明商誉减值准备计提的充分性和合理性', '说明雪莱特大宇合伙企业投资的具体情况和减值测试过程', '说明债务重组背景、商业实质及会计处理依据']"
002076.SZ,2021-11-24,ST雪莱-关注函-2021-11-24,"['说明捷盛东辉与雪莱特主营业务差异', '披露大木控股与捷盛科技协议条款', '解释捷盛东辉财务状况及评估增值原因', '详细说明公司连续亏损情况', '补充关联交易回避表决相关事宜']"
002076.SZ,2020-11-09,*ST雪莱-关注函-2020-11-09,"['披露6处房产涉及的诉讼及起诉人申请财产保全情况', '详细披露评估方法和过程并补充相关报告', '调整会计计量方式是否符合规定，是否存在规避暂停上市情形', '公司认为需说明的其他事项']"
002076.SZ,2020-09-11,*ST雪莱-关注函-2020-09-11,"['核查非公开发行方案及认购对象是否发生变化。', '说明施新华辞职的具体原因，是否存在未披露事项。', '说明增持计划的进展情况及未完成的原因。', '说明改善经营状况、提高盈利能力的措施，并提示暂停上市风险。']"
002076.SZ,2020-03-20,雪 莱 特-关注函-2020-03-20,"['是否存在迎合市场热点、炒作公司股价的情形。', '2,400万元紫外线杀菌灯销售收入的确认时点。', '生产紫外线杀菌灯的相关资质及许可证，以及被列入疫情防控重点保障企业名单对公司经营业绩的影响。', '董事、监事、高级管理人员及其直系亲属近六个月买卖股票情况。', '未来六个月是否有减持计划。', '近期接待机构和个人投资者调研的情况，是否存在违反公平信息披露原则的事项。']"
002076.SZ,2021-05-10,*ST雪莱-年报问询函-2021-05-10,"['自查并明确说明是否存在应实施退市风险警示情形。', '净利润大幅增长与营业收入下降变动不一致的具体原因。', '债务重组背景、是否具备商业实质及会计处理合理性。', '全面自查并说明债务重组相关交易履行审议程序和信息披露情况。', '重大诉讼、债务逾期、银行账户被冻结等事项解决进展。', '已逾期债务具体情况，结合现金流分析资金缺口。', '补充披露业务受影响范围和影响程度。', '营业收入扣除项目的具体内容和金额。', '紫外线杀菌灯产品营业收入、毛利大幅增长的具体原因。', '按产品类型分析说明主营产品市场竞争力及毛利率合理性。', '说明将自有房地产转为投资性房地产的原因及会计处理是否符合规定。', '商誉减值测试中关键假设选取依据及合理性。', '深圳卓誉未完成承诺业绩，营业收入、净利润减少的具体原因。', '逐项说明资产权利受限具体情况及其对公司生产经营的影响。']"
002076.SZ,2023-04-03,*ST雪莱-年报问询函-2023-04-03,"['说明收入规模持续萎缩、扣非后净利润连续三年为负数的原因。', '补充说明报告期内持续经营能力改善情况，是否符合撤销其他风险警示的相关条件。', '年审会计师说明公司2021 年度审计报告保留意见所涉事项在本期消除的判断依据。', '核查并说明你公司是否符合撤销退市风险警示的条件。', '破产重整收益确认时点、会计处理过程，是否符合《企业会计准则》的相关规定。', '营业收入扣除项目的具体内容和金额，并结合相关业务与主营业务的关联程度及交易商业实质等情况说明扣除项目的判断依据及合理性。', '第四季度营业收入大幅增长、经营活动现金流量净额大幅下降的原因及合理性。', '结合深圳卓誉2022 生产经营情况等，说明相关资产组发生减值迹象的具体时间及计提大额减值的依据。', '最近三年对深圳卓誉进行商誉减值测试的主要情况，历年测试参数选取及主要评估假设是否存在重大差异、以前年度商誉减值准备计提是否充分。', '按预收对象归集的报告期末预收货款前五名的基本情况，说明其与你公司是否存在关联关系。', '发出商品明细及其原因和合理性，库龄一年以上发出商品是否存在资产损失风险。', '详细说明上述资产权利受限的具体情况及是否涉及主要银行账户。', '针对各项诉讼事项计提预计负债的情况及计提依据，是否符合谨慎性原则。']"
002076.SZ,2020-05-19,*ST雪莱-关注函-2020-05-19,"['原董事长辞去职务的具体原因。', '管理层对公司生产经营活动的决策分工及辞职影响。', '详细披露债务豁免涉及债权人的基本情况。', '补充披露债务豁免协议的主要内容和义务。', '补充报备相关债务豁免协议。', '其他需要说明的情况。']"
002076.SZ,2022-11-18,*ST雪莱-关注函-2022-11-18,"['佳德轩作为重整投资人是否符合前期披露要求及遴选过程是否合规？', '重整后公司股权结构变化和控制权变化情况，以及投资人的投资目的和计划。', '转增股本定价依据、公允性、资金来源等安排是否维护上市公司利益？']"
002076.SZ,2020-12-08,*ST雪莱-关注函-2020-12-08,"['详细披露债权转让价格及对价支付情况。', '豁免债务原因合理性，是否存在关联关系。', '会计处理是否符合《企业会计准则》规定，是否存在调节利润情形。', '未完成增持计划的原因及其行为是否构成虚假陈述。', '需说明的其他事项。']"
002076.SZ,2020-07-06,*ST雪莱-年报问询函-2020-07-06,"['解释营业收入下降和持续亏损的原因', '评估公司持续经营能力并说明会计基础', '披露改善经营状况的具体措施及可行性', '披露充电桩回购义务金额及其对公司的影响', '确认预计负债的合理性', '分析固定资产、在建工程和无形资产减值风险', '披露债务详细情况及偿债措施', '解释应收账款周转率低的原因', '说明存货跌价准备转回或转销的具体情况', '说明与公司无关的或有事项产生的损益原因', '解释前五大客户销售金额变动', '解释管理费用增长的原因和合理性', '披露货币资金受限情况及对公司的影响', '披露诉讼案件对公司生产经营的影响', '说明富顺光电运营状况及后续安排', '评估卓誉自动化商誉减值测试的合理性', '确认政府补助计入损益金额的准确性']"
002076.SZ,2020-04-16,雪 莱 特-关注函-2020-04-16,"['披露2018年财务报告和内部控制存在的问题及未来审计意见风险。', '提示非公开发行股票及实际控制人变更的不确定性。', '披露本次发行筹划过程、信息保密情况以及相关人员买卖公司股票的情况。', '说明其他应披露事项。']"
002083.SZ,2020-07-06,孚日股份-年报问询函-2020-07-06,"['分析货币资金余额增长的原因及存放情况', '说明融资情况并评估偿债风险', '解释第四季度净利润和现金流量净额大幅下降原因', '披露政府补助收入大幅增加的合理性', '说明资产处置审议、完成日期及信息披露情况', '梳理报告期内合并范围变化情况', '逐项说明理财产品等投资详情', '解释回购权公允价值及其可行性', '补充坏账准备计提方法与具体原因', '说明委托贷款和应收关联方款项明细']"
002083.SZ,2020-06-30,孚日股份-关注函-2020-06-30,"['说明睿优铭集团2019年业绩情况及触发回购权的条款。', '说明保留意见涉及事项对公司2019年财务报表的实际影响金额或区间。', '签字会计师说明发表保留意见的理由和依据。', '表格形式列出资金占用的具体明细。', '具体说明违规担保的情况。', '说明解决资金占用和违规担保的方式及来源。', '说明内部控制重大缺陷的整改措施。', '其他需要说明的事项。']"
002083.SZ,2020-12-14,孚日股份-关注函-2020-12-14,"['说明原补偿方案中的回购款项及利息具体金额，与本次补偿方案金额存在的差异。', '说明睿优铭业绩承诺方的定价依据及其合理性。', '说明西藏芭迪熊的主要业务、经营情况及资产构成。', '详细说明本次交易对消除“保留意见”的具体依据以及可行性。', '提示股东大会投票规则、投票结果有效性认定和回避投票情形。']"
002083.SZ,2020-05-08,孚日股份-关注函-2020-05-08,"['核实并说明股票交易异常波动公告的真实性及回购、股权转让筹划过程是否违反信息披露原则', '结合现金流等因素，解释短期再次回购股份的原因、可行性与合理性', '说明内幕信息保密情况及遵守相关规定的状况', '其他应说明的事项']"
002083.SZ,2020-05-13,孚日股份-关注函-2020-05-13,"['孚日控股股权质押情况及股权转让可行性', '股权转让需履行的行政前置审批程序', '华荣实业财务状况与资金来源', '控制权变更对公司影响及风险提示', '股权转让定价依据及合理性', '信息披露真实性核查', '未来六个月内减持计划', '近期投资者调研情况']"
002083.SZ,2020-03-11,孚日股份-关注函-2020-03-11,"['补充说明设立安防公司及生产产品所需的资质和预计时间。', '具体说明生产线建设周期、投产时间和生产能力。', '分析产品订单情况，进行可行性分析。', '自查近期接待调研情况，是否存在内幕信息泄露。', '自查董事、监事、高级管理人员及其直系亲属股票买卖情况。', '披露未来六个月内减持计划。']"
002084.SZ,2020-05-29,海鸥住工-关注函-2020-05-29,"['上述战略合作框架协议对公司业绩的影响及披露情况', '公司董监高及其直系亲属近六个月买卖股票的情况和未来减持计划', '近期接待调研是否存在违反公平信息披露原则的情形', '是否存在应披露未披露的重大事项']"
002090.SZ,2020-09-15,金智科技-关注函-2020-09-15,"['披露木垒二期风电场项目的历史沿革及最新进展', '说明短期内对项目公司增资并委托管理的原因及合理性', '测算投资收益率，评估处分承诺价款能否覆盖前期支出', '分析金智集团的履约能力及其不直接转让股权的理由', '解释委托管理是否构成同业竞争', '论证反担保措施的充分性']"
002096.SZ,2022-08-05,南岭民爆-许可类重组问询函-2022-08-05,"['核查葛洲坝分拆易普力是否符合《上市公司分拆规则》', '说明一六九公司棚户区改造项目进展及自筹方案', '预计相关批准或核准取得时间，评估对交易的影响', '核查陈家华锁定期安排合规性', '披露垄断调查事项及其风险', '补充披露易普力高耗能、高排放项目情况', '说明易普力是否符合首次公开发行股票并上市条件']"
002096.SZ,2021-05-28,南岭民爆-年报问询函-2021-05-28,"['解释2020年收入下降但净利润大幅上升的原因。', '说明各季度及两年营业收入、扣非后净利润和现金流量净额变动不匹配原因。', '详细说明一六九棚户区项目的建设背景与会计处理。', '比较2013年和2020年的市场价值评估差异合理性。', '描述棚改项目中职工住房和待售商品房的具体情况。', '解释申请再审的进展及维护公司利益措施。', '说明信息披露是否及时。', '解释境外货币资金增加的原因。', '详细说明其他应收款、其他应付款的具体构成。', '解释借款规模调整原因。', '描述新产品的发展情况及其财务表现。', '评估固定资产是否存在减值迹象。', '报告研发项目的研究进展']"
002100.SZ,2023-08-09,天康生物-关注函-2023-08-09,"['天康制药挂牌原因及对公司影响', '挂牌是否涉及核心业务剥离', '天康制药与公司独立性问题', '其他需说明的事项']"
002111.SZ,2020-11-24,威海广泰-关注函-2020-11-24,"['解释2020年业绩指标设置是否能达到激励效果，是否存在变相输送利益情形。', '说明剔除房地产业务后营业收入作为考核目标的合理性及增长率设定是否符合规定。', '其他需要说明的事项。']"
002104.SZ,2023-06-01,恒宝股份-年报问询函-2023-06-01,"['净利润和经营活动产生的现金流量净额差异较大、变动趋势不一致的原因及合理性。', '制卡类、模块类、票证类产品营业收入变动趋势与销售量变动的匹配性。', '交易作价公允性，是否存在未披露协议或潜在安排。', '股份转让款项的资金来源。', '会计处理是否符合《企业会计准则》的规定。', '长期股权投资相关会计处理是否符合《企业会计准则》的规定。', '未办妥产权证书固定资产的原因及影响。', '采购集中度与同行业可比公司相比是否存在重大差异，是否对个别供应商存在重大依赖。', '向第一名供应商采购价格的公允性，是否存在关联关系。']"
002104.SZ,2021-03-24,恒宝股份-关注函-2021-03-24,"['说明是否能正常行使股东权利并实施控制及合并报表范围', '2020年度商誉减值测试情况', '是否存在需要修正前期业绩预计的情况']"
002104.SZ,2022-05-16,恒宝股份-年报问询函-2022-05-16,"['年审会计师说明无法确认一卡易股权相关长期资产会计处理的具体内容。', '公司解释将一卡易股权投资计入其他非流动资产的原因及账面价值确定依据。', '年审会计师说明内部控制鉴证报告意见是否符合相关规定。', '公司说明为整改相关内部控制缺陷已采取或拟采取的措施。', '公司说明仲裁申请书进展情况。', '公司解释制卡类业务毛利率未发生明显变动的原因。', '公司说明长期股权投资减少投资的具体情况及确认依据。', '公司自查并说明报告期内购买理财产品的情况。', '公司说明库存商品发生减值的原因及存货跌价准备计提是否充分。', '公司解释支付的其他与投资活动有关的现金的具体情况。']"
002104.SZ,2021-06-07,恒宝股份-年报问询函-2021-06-07,"['各主要业务产品营业收入、销售量同比下降的原因和合理性', '特种物联网业务收入确认方式变动原因及影响', '是否存在除收入确认方式变动外导致毛利率变动的因素', '一卡易失控事项信息披露及时性', '自2021年1月1日起将一卡易剔出合并范围的合理性', '一卡易相关无形资产和商誉减值损失计提是否符合会计准则', '应收账款增长及坏账准备计提原因与合理性', '原材料大幅增长的原因及存货跌价准备计提情况', '诉讼事项预计负债计提是否充分、准确', '货币资金及交易性金融资产具体情况', '内部控制有效性评价结论是否发生变化']"
002106.SZ,2022-04-02,莱宝高科-年报问询函-2022-04-02,"['说明近三年净利润和经营活动产生的现金流量净额差异原因。', '解释近三年销售回款变化的原因及合理性。', '说明营业收入增长的原因，并核实境外收入确认情况。', '解释报告期末库存商品和发出商品增长的原因。', '延迟提货是否影响公司收入确认。', '分析存货跌价准备计提的合理性。', '行业技术变化趋势对存货跌价准备的影响。', '投资重庆神华履行审批程序及项目可行性论证情况。', '说明CIGS 项目未投产原因及减值准备计提合理性。', '解释是否通过受托管理实质拥有控制权。', '未通过评估报告形式对土地使用权价值进行评估的原因。', '说明采用不同方法估算资产价值的合理性。', '现有开发合作模式是否涉及土地使用权转让。', '改造项目是否存在损害上市公司利益情形。', '外币货币性项目余额增长原因及应对措施。', '近三年向前五大客户销售产品、回款情况及客户集中度原因。', '说明2021年度应收账款回款情况。']"
002106.SZ,2022-03-31,莱宝高科-关注函-2022-03-31,"['蒋大兴详细说明向审计机构发送的关注函内容。', '审计机构第一次、第二次回复的具体内容。', '是否存在前后不一情形，产生怀疑的理由及沟通情况。', '审计机构对相关会计科目执行的审计程序。']"
002113.SZ,2022-02-16,ST天润-关注函-2022-02-16,"['说明湖南容信是否具备承接并完成审计业务的能力。', '说明拟定审计团队成员为你公司提供服务的具体年限及独立性问题。', '评估湖南容信的专业胜任能力、独立性、诚信情况以及风险承担能力等程序和结论。']"
002113.SZ,2022-08-22,ST天润-关注函-2022-08-22,"['披露框架协议内容及对公司业绩影响', '评估资金和能力履行协议情况，提示风险', '说明注册资本出资情况、信息披露及时性与合理性', '核查高管买卖股票行为及减持计划', '解决历史违规情形']"
002113.SZ,2020-12-24,*ST天润-关注函-2020-12-24,"['说明与梁碧群、天马发展是否存在关联关系，交易是否构成关联交易。', '量化分析交易对公司财务状况等的影响及购买原因和必要性。', '说明房产抵押和查封情况及其对租金收入的影响。', '实际用途与规划用途不一致的原因及合规风险。', '结合近三年指标说明广州天马国际时装批发中心第八层经营情况。', '收益法评估的具体测算过程及合理性。', '会计处理及可能影响，并请会计师发表意见。', '其他需要说明的事项。']"
002113.SZ,2021-05-17,*ST天润-关注函-2021-05-17,"['赖钦祥、麦少军被列入失信被执行人名单对公司生产经营的影响。', '赖钦祥、麦少军涉及诉讼的具体情况及其对公司的影响和信息披露情况。', '公司认为需要说明的其他事项。']"
002113.SZ,2020-10-15,*ST天润-关注函-2020-10-15,"['前期按100%比例计提预计负债、本次冲回是否合规？', '是否存在被追究担保责任的法律风险？', '商誉减值准备是否充分考虑相关事项影响？', '是否存在其他应披露未披露事项？']"
002113.SZ,2022-03-18,ST天润-关注函-2022-03-18,"['披露违规担保的具体情况', '核实五位董事签字决议的真实性', '说明解决违规担保的措施和时间', '自查是否存在其他未披露事项']"
002113.SZ,2020-11-24,*ST天润-关注函-2020-11-24,"['说明选取营业收入作为单一考核目标的原因', '营业收入增长率是否设定过低，能否起到激励作用', '是否符合《上市公司股权激励管理办法》第十一条的规定']"
002113.SZ,2022-05-09,ST天润-年报问询函-2022-05-09,"['补充披露租赁合同收益权的租金收入情况，控股股东代收租金的具体金额及支付时间。', '说明头牌商贸未按时转交租金的原因及其关联性，是否存在资金占用。', '核查梁碧群与公司是否有关联关系，交易是否构成关联交易或利益输送。', '评估应收款项性质和可回收性，坏账准备计提的合理性。', '详细说明无形资产减值准备计提情况及商誉减值测试过程。']"
002113.SZ,2023-05-17,*ST天润-年报问询函-2023-05-17,"['披露租赁合同收益权的应收租金情况及控股股东代收问题。', '说明天马合同权益未计提减值准备的原因。', '核查邀邀林公司欠款性质和可回收性。', '详细说明恒润华创资金占用的具体原因及其偿还能力。', '解释业绩承诺方未能完成业绩承诺的具体原因。', '分析持续经营能力存在的重大不确定性']"
002113.SZ,2021-06-02,*ST天润-关注函-2021-06-02,"['披露借款的具体情况，包括背景、条款等。', '蔡远远与公司是否存在关联关系及商业实质。', '该借款合同是否履行审议程序和真实有效。', '评估上述事项对公司财务状况的影响。', '是否构成向控股股东或关联人提供资金。', '拟采取的解决措施。', '核查是否存在其他资金占用、违规担保等情形。', '说明应予披露的其他事项。']"
002113.SZ,2022-03-09,ST天润-提请关注函（会计师事务所模板）-2022-03-09,"['关注2021年度财务报告审计工作', '保留意见涉及事项的充分性', '多笔资金占用、违规担保问题', '商誉减值计提合理性', '信息披露违规调查']"
002113.SZ,2020-01-21,ST天润-关注函-2020-01-21,"['补充披露违规担保和借款、占用资金计提损失的具体明细。', '分析本报告期计提大额预计负债的原因及合理性。', '披露本次计提完预计负债后公司净资产余额。', '说明出现减值迹象的时点及知悉事项的时间。', '其他需要说明的事项。']"
002113.SZ,2020-05-13,*ST天润-年报问询函-2020-05-13,"['会计师详细说明无法获取充分适当审计证据的具体情形和原因。', '会计师解释持续经营能力存在重大不确定性但以持续经营为假设的合理性。', '公司内控缺陷事项是否整改完成，内部控制有效性。', '公司计提大额预计负债依据、合理性及准确性。', '前期未计提预计负债的原因及是否存在不当盈余管理。', '全额计提坏账准备原因和合理性。', '采取措施督促关联方还款，董监高勤勉尽责情况。', '租赁合同收益权交易是否具有商业实质，控股股东非经营性资金占用可能性。', '租赁收益权控制情况、未来款项回收可能性及减值准备合理性。', '近三年营业收入上升而扣非后净利润连续亏损原因和合理性。', '公司是否存在规避净资产为负进行不当管理情形。', '持续经营能力是否存在重大不确定性。', '改善经营业绩和持续经营能力的具体措施。', '各季度业绩变动情况、第四季度经营性现金流远高于前三季度的原因。']"
